Country/dependency,Capital,Population,%ofcountry,Source
China,Beijing,"21,542,000",1.50%,[1]2018
Japan,Tokyo,"14,094,034",11.30%,[2]2023
Russia,Moscow,"13,104,177",9.00%,[3]2023
DR Congo,Kinshasa,"12,691,000",13.20%,[4]2017
Indonesia,Jakarta,"10,562,088",3.90%,[5]2020
Peru,Lima,"10,151,000",30.10%,[6]2023
Egypt,Cairo,"10,107,125",9.30%,[7]2022
South Korea,Seoul,"9,508,451",18.30%,[8]2022
Mexico,Mexico City,"9,209,944",7.30%,[9]2020
United Kingdom,London,"9,002,488",13.40%,[10]2020
Bangladesh,Dhaka,"8,906,039",5.30%,[11]2011
Iran,Tehran,"8,693,706",9.90%,2016
Thailand,Bangkok,"8,305,218",11.60%,[12]2010
Vietnam,Hanoi,"8,053,663",8.30%,[13]2019
Iraq,Baghdad,"7,682,136",17.60%,[14]2021
Saudi Arabia,Riyadh,"7,676,654",21.40%,2018
Hong Kong (China),HongKong,"7,291,600",100%,[15]2022
Colombia,Bogotá,"7,181,469",13.90%,[16]2011
Chile,Santiago,"6,310,000",32.40%,[17]2012
Turkey,Ankara,"5,747,325",6.80%,[18]2021
Singapore,Singapore,"5,917,600",100%,[19]2023
Afghanistan,Kabul,"4,601,789",11.50%,2021
Kenya,Nairobi,"4,397,073",8.30%,2019
Jordan,Amman,"4,061,150",36.40%,[20]2021
Algeria,Algiers,"3,915,811",8.90%,2011
Germany,Berlin,"3,677,472",4.40%,[21]2021
Spain,Madrid,"3,305,408",7.00%,[22]2021
Argentina,Buenos Aires,"3,120,612",6.90%,[23]2022
Ethiopia,Addis Ababa,"3,040,740",2.50%,[24]2012
Kuwait,Kuwait City,"2,989,000",70.30%,2018
Guatemala,Guatemala City,"2,934,841",16.70%,2020
South Africa,Pretoria,"2,921,488",4.90%,[25]2011
Ukraine,Kyiv,"2,920,873",6.70%,[26]2021
North Korea,Pyongyang,"2,870,000",11.10%,2016
Uzbekistan,Tashkent,"2,860,600",8.40%,[27]2022
Italy,Rome,"2,761,632",4.70%,[28]2022
Ecuador,Quito,"2,800,388",15.70%,2020
Cameroon,Yaoundé,"2,765,568",10.20%,[29]2015
Zambia,Lusaka,"2,731,696",14.00%,2020
Sudan,Khartoum,"2,682,431",5.90%,2012
Brazil,Brasília,"2,648,532",1.20%,[30]2012
Taiwan,Taipei (defacto),"2,608,332",10.90%,[31]2020
Yemen,Sanaa,"2,575,347",7.80%,2012
Angola,Luanda,"2,571,861",7.50%,2020
Burkina Faso,Ouagadougou,"2,453,496",11.10%,2019
Ghana,Accra,"2,388,000",7.30%,2017
Somalia,Mogadishu,"2,388,000",14.00%,2021
Azerbaijan,Baku,"2,303,100",22.30%,[32]2022
Cambodia,Phnom Penh,"2,281,951",13.80%,2019
Venezuela,Caracas,"2,245,744",8.00%,2016
France,Paris,"2,139,907",3.30%,[33]2022
Cuba,Havana,"2,132,183",18.90%,[34]2020
Zimbabwe,Harare,"2,123,132",13.30%,2012
Syria,Damascus,"2,079,000",9.70%,2019
Belarus,Minsk,"1,996,553",20.80%,[35]2022
Austria,Vienna,"1,962,779",22.00%,[36]2022
Poland,Warsaw,"1,863,056",4.90%,[37]2021
Philippines,Manila,"1,846,513",1.60%,[38]2020
Mali,Bamako,"1,809,106",8.30%,2009
Malaysia,Kuala Lumpur,"1,782,500",5.30%,2019
Romania,Bucharest,"1,716,983",8.90%,[39]2021
Hungary,Budapest,"1,706,851",17.60%,[40]2022
Congo,Brazzaville,"1,696,392",29.10%,2015
Serbia,Belgrade,"1,688,667",23.10%,[41]2021
Uganda,Kampala,"1,680,600",3.70%,2019
Guinea,Conakry,"1,660,973",12.30%,2014
Mongolia,Ulaanbaatar,"1,466,125",43.80%,2020
Honduras,Tegucigalpa,"1,444,085",14.00%,2021
Senegal,Dakar,"1,438,725",8.50%,2021
Czech Republic,Prague,"1,357,326",12.90%,[42]2023
Niger,Niamey,"1,334,984",5.30%,2020
Uruguay,Montevideo,"1,319,108",38.50%,2011
Bulgaria,Sofia,"1,307,439",19.00%,[43]2021
Oman,Muscat,"1,294,101",28.60%,[44]2021
Madagascar,Antananarivo,"1,275,207",4.40%,2018
Kazakhstan,Astana,"1,239,900",6.50%,[45]2022
Nigeria,Abuja,"1,235,880",0.60%,2011
Georgia,Tbilisi,"1,201,769",32.00%,[46]2022
Mauritania,Nouakchott,"1,195,600",25.90%,2019
Qatar,Doha,"1,186,023",44.10%,[47]2020
Libya,Tripoli,"1,170,000",17.40%,2019
Myanmar,Naypyidaw,"1,160,242",2.20%,2014
Rwanda,Kigali,"1,132,686",8.40%,2012
Mozambique,Maputo,"1,124,988",3.50%,2020
Dominican Republic,Santo Domingo,"1,111,838",10.00%,[48]2010
Armenia,Yerevan,"1,096,100",39.30%,[49]2021
Kyrgyzstan,Bishkek,"1,074,075",16.50%,2021
Sierra Leone,Freetown,"1,055,964",12.50%,2015
Nicaragua,Managua,"1,055,247",15.40%,2020
Canada,Ottawa,"1,017,449",2.70%,[50]2021
Pakistan,Islamabad,"1,014,825",0.40%,[51]2017
Liberia,Monrovia,"1,010,970",19.50%,2008
United Arab Emirates,Abu Dhabi,"1,010,092",10.80%,2020
Malawi,Lilongwe,"989,318",5.00%,2018
Haiti,Port-au-Prince,"987,310",8.60%,2015
Sweden,Stockholm,"978,770",9.40%,[52]2021
Eritrea,Asmara,"963,000",26.60%,2020
Israel,Jerusalem[a],"936,425",10.50%,[54]2019
Laos,Vientiane,"927,724",12.50%,[55]2019
Chad,N'Djamena,"916,000",5.30%,2009
Netherlands,Amsterdam,"905,234",5.20%,[56]2022
Central African Republic,Bangui,"889,231",16.30%,2020
Panama,Panama City,"880,691",20.20%,2013
Tajikistan,Dushanbe,"863,400",8.90%,2020
Nepal,Kathmandu,"845,767",2.80%,[57]2021
Togo,Lomé,"837,437",9.70%,2010
Turkmenistan,Ashgabat,"791,000",12.50%,2017
Moldova,Chişinău,"779,300",25.50%,[58]2019
Croatia,Zagreb,"769,944",19.00%,[59]2021
Gabon,Libreville,"703,904",30.10%,2013
Norway,Oslo,"697,010",12.90%,[60]2021
Macau (China),Macau,"671,900",100%,[61]2022
United States,"Washington, D.C.","670,050",0.20%,[62]2021
Jamaica,Kingston,"662,491",23.40%,[63]2019
Finland,Helsinki,"658,864",11.90%,[64]2021
Tunisia,Tunis,"638,845",5.20%,2014
